,Name: ,Position: ,Overall: ,College: ,Age: ,Experience: ,Height(inches): ,Weight(lbs): 
2685,Ivan Dunn,re,66,Nevada-Las Vegas,28,7,72,247
2686,Gene Mitchell,re,91,No College,24,3,70,253
2687,Mark Kilian,re,68,Sacramento State,21,0,70,207
2688,Earl Harris,re,62,Texas A&M,21,0,71,254
2689,Stanley Burnside,re,57,Michigan,25,4,70,214
2690,William Hupp,re,60,Utah State,27,6,77,260
2691,Steven Hutcheson,re,62,Alabama,28,7,80,204
2692,Michael Richard,re,94,Greenville College,22,1,79,262
2693,Ken Mccune,re,59,Rutgers,21,0,80,222
2694,Nelson Lau,re,60,Oklahoma,24,3,77,245
2695,Victor Melton,re,72,Wyoming,21,0,73,235
2696,Jeffrey Penrod,re,65,Southwestern Oklahoma State,21,0,75,271
2697,Jack Bunal,re,58,St. John's (N.Y.),24,3,70,202
2698,Charles Kolmer,re,62,Virginia Tech,28,7,80,211
2699,John Crumbley,re,55,Nebraska,27,6,78,259
2700,James Arnold,re,66,Fresno State,23,2,79,211
2701,Lee Goodwin,re,72,Texas A&M,29,8,72,240
2702,Anthony Roberts,re,56,Oregon,27,6,70,206
2703,Frank Johnson,re,95,Tulsa,32,11,74,246
2704,Lawrence Fox,re,93,Michigan,28,7,72,233
2705,Mario Day,re,79,Georgia,21,0,76,264
2706,Jeffery Lindberg,re,59,California,28,7,73,201
2707,Edward Begley,dt,79,East Carolina,24,3,72,258
2708,Ronald Corrie,dt,62,Texas A&M-Commerce,21,0,78,226
2709,Garland Lee,dt,60,Shippensburg,21,0,73,249
2710,Micheal Wagner,dt,55,St. John's (N.Y.),30,9,78,259
2711,Jason Watson,dt,85,Detroit Mercy,24,3,75,233
2712,Joaquin Kelling,dt,71,Nebraska,21,0,74,205
2713,Efren Dietz,dt,71,Murray State,24,3,78,240
2714,Anthony Putnam,dt,69,Harvard,25,4,71,255
2715,James Pearson,dt,66,Bowling Green State,23,2,73,242
2716,Rene Williams,dt,75,Bethune-Cookman,24,3,72,246
2717,Edward Hill,dt,67,Mississippi,33,12,79,217
2718,Matthew Eiben,dt,67,Oregon State,26,5,79,202
2719,Timothy Moody,dt,73,Brigham Young,26,5,74,264
2720,Jason Travis,dt,84,Texas-El Paso,25,4,72,241
2721,Patrick Schuckert,dt,62,Youngstown State,30,9,79,266
2722,Ryan Wallace,dt,81,Wyoming,21,0,72,214
2723,Kevin Kelley,dt,83,Louisville,27,6,73,244
2724,Jerry Jones,dt,83,Oklahoma,22,1,79,267
2725,Jose Ng,dt,72,Mississippi State,25,4,72,248
2726,Marcus Rice,dt,60,No College,23,2,72,270
2727,Brandon Foy,dt,68,Florida,25,4,72,224
2728,Nathaniel Campbell,dt,92,Texas A&M,26,5,74,210
2729,Thomas White,dt,68,Pittsburgh,23,2,76,236
2730,Angel Martin,dt,59,Alabama,24,3,75,263
2731,John Robinson,dt,70,San Diego State,24,3,77,204
2732,Charles Ryder,dt,64,Texas A&M - Kingsville,25,4,73,244
2733,David Broadwell,dt,68,Syracuse,26,5,71,237
2734,Lloyd Mcdowell,dt,65,Florida State,36,15,74,238
2735,John Martinez,dt,68,South Carolina State,26,5,71,222
2736,Charles Adams,dt,55,Texas,21,0,72,240
2737,Dennis Gipson,dt,56,Massachusetts,29,8,75,213
2738,Charles Veliz,dt,64,UCLA,29,8,80,205
2739,William Reyes,dt,78,Notre Dame,22,1,75,200
2740,Tim Eiland,dt,72,Tulsa,25,4,77,221
2741,Charles Rowan,dt,59,Wisconsin,26,5,77,253
2742,Robin Murphy,dt,73,Fresno State,26,5,74,226
2743,Mark Laskoski,dt,73,North Carolina,22,1,74,216
2744,Matthew Dean,dt,58,Wyoming,26,5,78,275
2745,Zachary Durk,dt,94,West Virginia,25,4,76,227
2746,Jeffrey Duren,dt,67,Princeton,25,4,72,207
2747,Kyle Hines,dt,67,U. of Pacific,30,9,77,207
2748,William Skinner,dt,75,Arkansas-Pine Bluff,23,2,77,240
2749,Gerald Lobo,dt,74,Texas Christian,21,0,75,231
2750,Matthew Kille,dt,80,Alabama,26,5,78,275
2751,Derek Woodlock,dt,58,Texas,25,4,71,228
2752,Julio Harp,dt,66,Texas-El Paso,26,5,70,271
2753,Enrique Calhoun,dt,60,Brigham Young,23,2,79,213
2754,Cornelius Zdenek,dt,97,Ohio State,26,5,78,203
2755,Anthony Overy,dt,60,Grambling State,25,4,71,239
2756,Ryan Blakney,dt,55,Georgia,30,9,80,248
2757,Eric Wilcox,dt,57,Florida,21,0,73,255
2758,Joe Mcmillan,dt,68,Nebraska,24,3,79,203
2759,Julio Owen,dt,58,North Carolina A&T,26,5,77,267
2760,Jon Craft,dt,63,South Florida,26,5,72,270
2761,Orval Hardy,dt,67,U. of Pacific,27,6,75,240
2762,Gino Doyle,dt,63,Notre Dame,21,0,79,274
2763,Chris Wall,dt,55,California,26,5,76,270
2764,Marvin Dretzka,dt,73,Albany State (Ga.),27,6,74,259
2765,Ken Redick,dt,71,Pittsburgh,28,7,71,267
2766,Lindsey Ward,dt,95,Purdue,26,5,80,222
2767,Paul Fecteau,dt,63,St. Mary's (CA),25,4,70,270
2768,Benjamin Steele,dt,84,North Carolina,26,5,75,212
2769,Chester Juarez,dt,59,Indiana,31,10,74,272
2770,Barry Eguia,dt,55,Baylor,27,6,75,265
2771,Randall Hanna,dt,69,Penn State,21,0,70,275
2772,James Seibert,dt,68,Clemson,23,2,78,204
2773,Robert Judd,dt,62,Toledo,25,4,71,258
2774,Brian Earl,dt,74,Pittsburgh,24,3,73,253
2775,Jackie Eckhardt,dt,81,Pittsburg State,29,8,78,208
2776,James Kuo,dt,57,Maryland,21,0,80,242
2777,Ted Byars,dt,75,No College,24,3,71,243
2778,James Reyes,dt,68,UCLA,28,7,80,275
2779,Gabriel Underwood,dt,65,No College,31,10,79,208
2780,Frank Triplett,dt,74,Mount St. Mary's,31,10,76,274
2781,David Keil,dt,75,West Virginia,24,3,78,265
2782,Jose Holman,dt,67,Vanderbilt,28,7,72,218
2783,David Jungling,dt,57,Duquesne,21,0,73,220
2784,Jack Robb,dt,59,Stanford,27,6,78,234
2785,Edward Savoie,dt,60,Mississippi,28,7,76,222
2786,Bennett Brose,dt,64,Southern Illinois,21,0,72,269
2787,Daniel Winton,dt,55,Ashland,25,4,73,207
2788,Andrew Hunking,dt,68,San Diego State,27,6,73,218
2789,Dennis Oliver,dt,69,Georgia Southern,22,1,79,251
2790,Christopher Raby,dt,59,Washington,31,10,80,259
2791,Brian Mcmullen,dt,93,West Virginia,26,5,80,201
2792,Charles Edmonds,dt,61,Wisconsin,23,2,70,209
2793,Lester Hettinger,dt,67,Boston College,25,4,75,243
2794,Israel Steadman,dt,55,Wichita State,30,9,70,234
2795,Rufus Frank,dt,78,USC,25,4,80,252
2796,Garland Rebuldela,dt,55,Slippery Rock,27,6,78,208
2797,John Heim,dt,63,Massachusetts,24,3,78,213
2798,Patrick Huneycutt,dt,71,Delaware,28,7,70,246
2799,Walter Geary,dt,73,North Carolina,21,0,73,265
2800,Richard Copeland,dt,56,Michigan State,25,4,72,234
2801,Richard Talley,dt,67,Houston,24,3,72,271
2802,Michael Bissell,dt,71,San Diego State,25,4,78,215
2803,John Aadland,dt,72,North Carolina,32,11,73,202
2804,John Elam,dt,75,Elmhurst,24,3,72,242
2805,Jeremy Baptiste,dt,67,Baylor,25,4,71,225
2806,Henry Mcguire,dt,93,New Mexico State,27,6,72,227
2807,Peter Redner,dt,61,Maryland,21,0,70,210
2808,Ricardo Brown,dt,84,Michigan State,31,10,75,213
2809,Eric Butler,dt,62,Louisiana-Lafayette,22,1,80,214
2810,Ronald Stramel,dt,61,San Diego State,21,0,70,222
2811,Robert Webb,dt,57,Pittsburgh,22,1,75,234
2812,Tom Pierce,dt,71,Southeast Missouri State,25,4,72,258
2813,Eric Gill,dt,71,Southern Methodist,30,9,78,213
2814,Scott Huffman,dt,74,Winston-Salem State,27,6,75,236
2815,Peter Abney,dt,65,Norfolk State,24,3,80,201
2816,Nick Villanueva,dt,63,Miles,25,4,78,253
2817,John Kinkel,dt,69,Georgia,23,2,71,228
2818,Richard Hedgecock,dt,62,Presbyterian,27,6,78,251
2819,Joseph Tubb,dt,73,California,28,7,74,226
2820,William Cantella,dt,62,Cal State-Northridge,24,3,73,207
2821,Luther Lowe,dt,75,Oklahoma,25,4,71,253
2822,Paul Carpenter,dt,71,USC,29,8,70,275
2823,Christopher Perigo,dt,57,Davis & Elkins,25,4,74,229
2824,Bruce Lewis,dt,70,Ball State,28,7,70,241
2825,Robert Bolden,dt,70,North Carolina State,27,6,72,265
2826,David Clough,dt,60,Tulsa,21,0,72,262
2827,Larry Rhodes,dt,84,Ohio State,24,3,78,244
2828,Frederic Kendall,dt,92,Auburn,29,8,78,240
2829,Brent Tyler,dt,68,Villanova,28,7,77,255
2830,Michael Tufts,dt,57,Nebraska,26,5,71,238
2831,Phillip Scroggins,dt,95,North Carolina State,28,7,74,273
2832,Eddie Gable,dt,74,West Virginia,24,3,73,239
2833,Jason Knox,dt,71,Tulane,28,7,72,218
2834,William Spoor,dt,81,Earlham,26,5,70,267
2835,Arthur Wilson,dt,61,Rice,26,5,71,218
2836,Timothy Ramos,dt,55,Colorado,23,2,73,237
2837,Michael Millick,dt,58,Kansas State,28,7,72,273
2838,Kenneth Sawyer,dt,82,Baylor,25,4,72,247
2839,Caleb Mulhall,dt,61,San Jose State,25,4,79,202
2840,William Steele,dt,95,Florida State,22,1,74,271
2841,John Hamlin,dt,70,Oklahoma,29,8,77,245
2842,Elmer Crabtree,dt,98,Gonzaga,29,8,71,259
2843,Cody Broaddus,dt,70,Wisconsin,25,4,70,247
2844,Lloyd Mccoy,dt,75,Marshall,30,9,77,222
2845,Merle Curry,dt,69,Florida State,28,7,76,200
2846,Lonnie Surdam,dt,87,Southern Utah,27,6,79,258
2847,Paul Milliken,dt,87,Notre Dame,27,6,71,232
2848,Henry Rivera,dt,60,Texas A&M,27,6,78,229
2849,William Deen,dt,98,Menlo College,24,3,75,221
2850,Scott Johnson,dt,64,Southern Methodist,25,4,73,246
2851,Micah Lehr,dt,73,Virginia Tech,25,4,77,223
2852,Edgar Christie,dt,73,Minnesota,28,7,80,208
2853,Michael Loguidice,dt,72,North Carolina Central,24,3,73,261
2854,Leroy Manley,dt,58,Hampton,29,8,79,231
2855,Jason Reyes,dt,75,California,25,4,78,239
2856,Eddy Shaw,dt,58,Purdue,32,11,74,230
2857,Gerald Barrett,dt,55,Iowa State,23,2,80,263
2858,Gerardo Little,dt,67,Wake Forest,25,4,73,220
2859,Milton Shirley,dt,62,Cal State-Fullerton,28,7,74,217
2860,Christopher Scarborough,dt,61,Brigham Young,32,11,70,229
2861,Claudio Rodger,dt,80,Indiana (PA),33,12,79,266
2862,Larry Knox,dt,72,Drake,21,0,77,244
2863,Gary Gonzalez,dt,70,Clemson,21,0,70,210
2864,Rey Guevara,dt,67,Miles,24,3,80,261
2865,Richard Hayes,dt,58,Iowa,28,7,77,211
2866,Arthur Fuller,dt,69,Indiana,31,10,71,259
2867,Ruben Bui,dt,57,Bradley,25,4,76,270
2868,Richard Mcleod,dt,84,Louisiana Tech,22,1,73,266
2869,David Nguyen,dt,68,Notre Dame,22,1,79,225
2870,Harry Thomas,dt,73,Southern Methodist,30,9,78,220
2871,Robert Boyer,dt,66,Lamar,26,5,70,261
2872,Marcus Theall,dt,74,Wyoming,25,4,71,256
2873,Michael Mayhall,dt,81,Frostburg State,22,1,73,238
2874,Jimmy Williams,dt,61,Louisiana Tech,28,7,78,221
2875,Ray Bilder,dt,85,Mississippi,27,6,78,271
2876,Ronald Thivierge,dt,77,Tennessee State,25,4,75,232
2877,Harry Joyce,dt,78,Kansas,24,3,71,275
2878,Edward Sweeney,dt,57,Texas,29,8,80,272
2879,Jimmy Speller,dt,57,Texas Tech,26,5,71,239
2880,Jimmie Mccomb,dt,68,Missouri,23,2,79,270
2881,Edward Moore,dt,84,Michigan,31,10,70,272
2882,Lee Vogel,dt,92,Florida State,27,6,79,264
2883,Jerry Whipple,dt,56,Oklahoma,27,6,73,219
2884,Claude Emerson,dt,66,Marian (Ind.),23,2,79,252
2885,William Bennett,dt,84,Purdue,24,3,79,223
2886,Donald Marsh,dt,55,California (PA),25,4,78,214
2887,Robert Black,dt,73,Marshall,27,6,77,200
2888,Michael Klena,dt,70,Purdue,28,7,72,261
2889,Kenneth Nelson,dt,60,West Georgia,21,0,77,256
2890,William Boettcher,dt,55,Tennessee,22,1,80,206
2891,Kyle Haynie,dt,56,Florida,29,8,75,244
2892,Ruben Pelfrey,dt,66,Tulsa,21,0,75,211
2893,Mike Brown,dt,75,Rice,22,1,70,244
2894,Paul Dean,dt,93,USC,27,6,75,235
2895,Ryan Plourde,dt,98,North Texas,27,6,79,257
2896,Gustavo Hogue,dt,84,Mississippi,29,8,78,269
2897,Evan Fender,dt,70,Southern Mississippi,30,9,78,220
2898,Ricky Abrew,dt,77,Texas Christian,24,3,75,214
2899,Timothy Cortes,dt,57,Central Florida,26,5,70,208
2900,Neal Majors,dt,76,Ohio State,22,1,77,248
2901,John Strickland,dt,75,Pittsburgh,23,2,75,228
2902,David Sandoval,dt,72,Florida A&M,21,0,73,250
2903,Christopher Conway,dt,81,Miami (Fla.),27,6,74,253
2904,Tony Nalls,dt,75,Clemson,28,7,74,257
2905,John Haran,dt,62,Calgary,24,3,75,220
2906,Carl Estep,dt,68,St. Bonaventure,25,4,71,208
2907,Roy Cook,dt,70,Georgia Southern,24,3,80,262
2908,Lonnie Bennett,dt,55,Stephen F. Austin St.,27,6,75,218
2909,George Vaughn,dt,86,Notre Dame,28,7,76,247
2910,Richard Kocher,dt,67,Michigan State,23,2,78,272
2911,Bernard Blanco,dt,69,Penn State,26,5,78,215
2912,Joseph Lowery,dt,68,Buffalo,27,6,78,254
2913,Leroy Berg,dt,86,Washington,28,7,72,227
2914,Emmett Newell,dt,81,Texas,29,8,78,264
2915,Samuel Stewart,dt,60,West Virginia,21,0,72,254
2916,Bruce Hicks,dt,74,Tulane,25,4,72,261
2917,Raymond Jenness,dt,63,Nebraska,21,0,70,200
2918,Leonard Shultz,dt,71,St. Bonaventure,26,5,79,241
2919,Antonio Vogel,dt,69,Syracuse,25,4,75,252
2920,Scott Mccalpane,dt,65,Troy,24,3,72,210
2921,John Lundberg,dt,67,Nebraska,27,6,71,237
2922,Reginald Smith,dt,93,Mississippi State,27,6,76,219
2923,Max Solomon,dt,60,Arkansas State,27,6,78,226
2924,Eric Maloney,dt,59,Wisconsin,25,4,74,222
2925,Raymond Klapper,dt,71,Iowa,28,7,73,202
2926,Dale Panora,dt,70,California,25,4,77,253
2927,Michael Parker,dt,67,USC,26,5,78,247
2928,Ali Gonzales,dt,63,Illinois,31,10,77,232
2929,Christopher Noel,dt,57,No College,26,5,74,275
2930,Alton Magnusson,dt,67,Portland State,25,4,74,256
2931,Kurt Malin,dt,61,Nebraska,26,5,79,233
2932,Lance Heinz,dt,92,Rutgers,25,4,77,233
2933,Lee Vaughn,dt,73,Minnesota,28,7,79,202
2934,Daniel Jagger,dt,75,Alabama,27,6,73,222
2935,Edward Robinson,dt,58,Arkansas-Pine Bluff,23,2,79,202
2936,Will Graap,dt,60,Delaware,26,5,78,201
2937,Eric Lucero,dt,61,LSU,28,7,75,261
2938,James Isola,dt,79,Pittsburgh,27,6,76,248
2939,Ricardo Hinton,dt,72,New Mexico State,24,3,74,236
2940,Joshua Brown,dt,98,San Jose State,25,4,75,208
2941,Grant Santiago,dt,58,Georgia Tech,23,2,71,215
2942,Napoleon Norris,dt,55,Michigan State,26,5,76,249
2943,Ed Huskey,dt,67,Indiana,26,5,70,274
2944,Dennis Mason,dt,66,Georgia Tech,26,5,76,230
2945,Robert Mccorkle,dt,58,Tennessee,27,6,71,274
2946,Hans Park,dt,57,Minnesota,24,3,79,263
2947,Joel Carroll,dt,81,Hampton,25,4,76,209
2948,Jason Adams,dt,80,St. Louis,29,8,79,226
2949,James Simmons,dt,80,Cincinnati,22,1,74,224
2950,Jesse Burchill,dt,70,Boston College,28,7,77,211
2951,Corey Loza,dt,74,St. Cloud State,26,5,74,255
2952,Angelo Chacon,dt,66,Syracuse,25,4,78,211
2953,Robert Ballard,dt,71,Houston,24,3,77,263
2954,James Hill,dt,80,Penn State,25,4,70,254
2955,Timothy Taylor,dt,55,Pittsburgh,22,1,72,217
2956,Floyd Hardison,dt,64,Stanford,26,5,72,201
2957,David Willingham,dt,59,Pittsburgh,27,6,73,230
2958,Billy Martin,dt,61,Houston,26,5,71,251
2959,Robert Freeman,dt,60,Middle Tennessee State,21,0,76,214
2960,Jerry Lin,dt,74,Arizona,28,7,73,218
2961,Martin Pena,dt,65,West Virginia,25,4,72,266
2962,Monroe Hand,dt,56,Washington,26,5,80,206
2963,Jack Bongiorno,dt,65,Pittsburgh,22,1,73,217
2964,Anthony Miller,dt,63,Florida,29,8,72,258
2965,Alfonso Herman,dt,70,Florida,26,5,71,206
2966,Timothy Castillo,dt,67,Augustana (S.D.),31,10,79,234
2967,Sean Nabors,dt,56,Virginia,28,7,72,212
2968,Timothy Thomas,dt,66,Buffalo,25,4,71,201
2969,Ross Luna,dt,69,Hawaii,22,1,71,212
2970,Chad Shain,dt,88,Colorado State,27,6,70,233
2971,Ronald Johnson,dt,70,North Carolina,33,12,80,241
2972,Henry Stumbaugh,dt,67,Clemson,25,4,76,226
2973,Richard Payton,dt,55,Central Florida,21,0,76,259
2974,Michael Bauman,dt,56,UCLA,27,6,72,250
2975,Richard Conklin,dt,64,Notre Dame,23,2,73,274
2976,Frank Puffinberger,dt,70,Southern University,23,2,75,211
2977,Frank Guthrie,dt,68,Carthage,23,2,71,227
2978,Daniel Nicolls,dt,73,West Virginia Wesleyan,26,5,77,265
2979,Eric Gary,dt,73,South Carolina,25,4,75,249
2980,Armando Simpkins,dt,95,Colorado,21,0,78,216
2981,Juan Hughes,dt,75,Nebraska,24,3,80,273
2982,James Duran,dt,76,Maryland,21,0,72,252
2983,John Diberardino,dt,91,Wyoming,33,12,71,251
2984,Jon Brown,dt,61,Oklahoma State,22,1,77,200
2985,Juan Chaffin,dt,69,Florida,22,1,74,265
2986,Steve Viles,dt,71,Mississippi State,28,7,80,224
2987,David Lewin,dt,85,Washington,23,2,70,224
2988,Johnnie Alicea,dt,59,Maryland East. Shore,26,5,79,273
2989,Benjamin Lawson,dt,91,Oregon,25,4,79,225
2990,Oscar Jaculina,dt,95,Texas A&M - Kingsville,32,11,80,226
2991,John Leblanc,dt,69,Los Angeles State,24,3,80,218
2992,Vincent Morrow,dt,55,California-Santa Barbara,22,1,71,262
2993,Jermaine Francois,dt,71,Pittsburgh,25,4,78,231
2994,William Miland,dt,64,Miami (Ohio),25,4,75,222
2995,Nick Hummel,dt,57,Florida State,26,5,80,255
2996,Maurice Woods,dt,73,California,23,2,75,238
2997,Nestor Pribbenow,dt,80,Loyola Marymount,27,6,72,262
2998,Ron Miller,dt,68,Oregon,27,6,74,273
2999,Robert Nguyen,dt,57,Vanderbilt,22,1,78,251
3000,Donald Jones,dt,95,Eastern Washington,28,7,72,230
3001,Thomas Miller,dt,85,Jacksonville State,30,9,73,243
3002,Edward Mency,dt,60,Morgan State,26,5,78,254
3003,Richard Avila,edge,56,Oklahoma,29,8,76,244
3004,Brian Colon,edge,67,Kent State,28,7,76,220
3005,James Salis,edge,73,Pittsburgh,25,4,71,219
3006,Sidney Garris,edge,82,Texas A&M,22,1,74,263
3007,Gary Phillips,edge,56,USC,25,4,77,244
3008,Leroy Khalaf,edge,58,California,21,0,76,223
3009,Andrew Arujo,edge,73,UCLA,26,5,72,210
3010,Antonio Litzenberger,edge,90,UCLA,29,8,73,260
3011,Jody Tahon,edge,61,Furman,21,0,70,262
3012,Tom Miller,edge,69,Azusa Pacific,21,0,73,220
3013,Eugene Mixon,edge,93,Michigan,24,3,79,250
3014,Jack Rembert,edge,63,San Diego State,23,2,79,249
3015,Robert Banda,edge,67,Georgia,29,8,79,201
3016,Luis James,edge,62,Purdue,25,4,78,239
3017,Harvey Brickman,edge,75,Stanford,25,4,80,210
3018,Francis Verkamp,edge,75,Kansas State,25,4,75,201
3019,Brandon Dennis,edge,61,Minnesota,23,2,71,243
3020,Milton Wheeler,edge,74,Stanford,26,5,77,251
3021,Robert Brinks,edge,67,Tennessee,21,0,73,202
3022,Wayne Garvin,edge,62,Tennessee State,29,8,75,272
3023,Sean Anthony,edge,61,California-Santa Barbara,28,7,79,216
3024,Albert Rasmussen,edge,89,Western Illinois,28,7,71,260
3025,James Redmon,edge,61,Abilene Christian,29,8,72,248
3026,Gerald Treto,edge,66,Troy,33,12,80,233
3027,Kenneth Green,edge,71,Appalachian State,23,2,78,272
3028,Jerry Ryan,edge,69,Houston,26,5,77,248
3029,Eddie Burroughs,edge,62,Nebraska,21,0,72,211
3030,David Collins,edge,79,South Carolina State,26,5,76,228
3031,Eric Sproles,edge,72,Gonzaga,24,3,79,249
3032,William Taylor,edge,76,Tennessee State,25,4,73,215
3033,Christopher Debnam,edge,63,Mississippi,26,5,73,234
3034,Anthony Lee,edge,76,South Florida,26,5,70,210
3035,Brian Borovec,edge,95,Catholic,25,4,79,201
3036,Richard Marcial,edge,64,No College,28,7,71,243
3037,Cecil Baxley,edge,61,Troy,26,5,72,244
3038,Arthur Dillard,edge,67,West Virginia,23,2,73,236
3039,David Jackson,edge,73,Memphis,21,0,79,266
3040,Charles Bockelman,edge,67,USC,28,7,73,217
3041,James Alton,edge,66,Texas,26,5,71,222
3042,James Castro,edge,71,Ohio State,23,2,75,204
3043,Todd Shinault,edge,68,Wyoming,21,0,79,209
3044,Paul Muncy,edge,73,Colorado,26,5,72,266
3045,Matthew Hurst,edge,60,Ohio State,24,3,74,265
3046,Daniel Stevenson,edge,69,Brigham Young,25,4,78,256
3047,Chase Montez,edge,80,LSU,27,6,79,248
3048,Richard Gregory,edge,66,Kent State,28,7,75,242
3049,Dennis Wagner,edge,71,Michigan State,25,4,74,249
3050,Jason Ornelas,edge,56,LSU,24,3,78,206
3051,Raymond Davis,edge,74,Florida State,29,8,70,245
3052,Kenneth Stevenson,edge,59,Brigham Young,27,6,79,269
3053,John Tamburri,edge,77,Washington,27,6,72,245
3054,Corey Roes,edge,71,Minnesota,33,12,71,238
3055,John Hartage,edge,61,Troy,31,10,72,224
3056,Jan Fisher,edge,61,Texas-El Paso,28,7,73,250
3057,Steven Glover,edge,91,Arkansas State,23,2,75,251
3058,Matthew Coleman,edge,84,Virginia,21,0,74,259
3059,Duane Garcia,edge,74,Arkansas State,28,7,79,275
3060,Robert Waldman,edge,75,Michigan,24,3,76,206
3061,Orville Dillard,edge,88,Maryland,28,7,71,201
3062,George Doty,edge,66,Houston,24,3,71,215
3063,Matthew Mathur,edge,74,West Texas A&M,29,8,71,262
3064,John Rhodes,edge,57,Minnesota,21,0,77,208
3065,Juan Southard,edge,73,Brigham Young,27,6,76,256
3066,Timothy Fonseca,edge,61,Florida,28,7,74,205
3067,Pedro Currie,edge,89,Rice,21,0,77,231
3068,Ricky Infield,edge,63,Auburn,26,5,70,210
3069,Robert Daniels,edge,71,Purdue,25,4,73,208
3070,Richard Lacasse,edge,74,Tulane,25,4,73,275
3071,Kevin Huguley,edge,71,Tulane,28,7,70,219
3072,Jeffrey Corporan,edge,95,Arkansas-Pine Bluff,26,5,76,259
3073,Richard Olson,edge,60,Arizona,26,5,80,219
3074,Carl Mendieta,edge,74,Vanderbilt,26,5,70,254
3075,Charles Mccaskill,edge,65,Tulsa,29,8,74,263
3076,John Parkerson,edge,74,Illinois,26,5,78,271
3077,Charles Gallo,edge,67,San Diego State,26,5,74,231
3078,Jason Brown,edge,78,Arizona,27,6,73,247
3079,William Polston,edge,61,Iowa State,23,2,78,256
3080,Glen Myhre,edge,72,Ohio State,21,0,75,202
3081,Danny Miller,edge,71,Miami (Fla.),28,7,76,262
3082,David Hall,edge,56,Baylor,30,9,80,217
3083,Aaron Bartholomew,edge,62,Oklahoma,25,4,79,203
3084,Jimmie Mitchell,edge,65,Washington,24,3,80,203
3085,Shane Ross,edge,70,Troy,29,8,72,244
3086,Mark Piacente,edge,64,Alabama,27,6,80,223
3087,Walton Benitez,edge,69,Southern Illinois,27,6,71,243
3088,Kyle Smith,edge,75,Oregon,26,5,73,253
3089,Alan Grenier,edge,69,Michigan State,28,7,76,209
3090,Robert Mcclendon,edge,56,Wisconsin,26,5,70,216
3091,Robert Smith,edge,62,Sam Houston State,26,5,72,229
3092,Lance Rickman,edge,57,Connecticut,22,1,80,250
3093,Roy Kent,edge,75,Purdue,25,4,70,240
3094,Danny Lucia,edge,68,Temple,28,7,72,215
3095,Raymond Hommell,edge,64,Oklahoma State,26,5,71,263
3096,Michael Hartshorn,edge,72,Arkansas,28,7,70,200
3097,Dwight Wilt,edge,61,Tennessee,22,1,71,270
3098,Anthony Peterson,edge,70,Nebraska,27,6,76,202
3099,Angel Cox,edge,69,North Carolina-Charlotte,31,10,77,260
3100,Neil Montgomery,edge,64,Colorado State,26,5,79,245
3101,Thomas Gross,edge,57,Oklahoma,25,4,73,265
3102,Clinton Wright,edge,62,North Carolina Central,26,5,77,213
3103,Anthony Harris,edge,56,USC,22,1,73,259
3104,Curtis Cheek,edge,73,Colorado,26,5,78,252
3105,Thomas Woody,edge,70,Maryland,25,4,76,260
3106,Erick Wilson,edge,68,Notre Dame,33,12,70,221
3107,Louis Jenkins,edge,59,Georgia Tech,28,7,72,209
3108,Bruce Wood,edge,55,Cincinnati,26,5,70,209
3109,Kevin Sirles,edge,91,Illinois,27,6,74,228
3110,William Land,edge,75,Auburn,33,12,70,217
3111,David Edelen,edge,74,Southern Mississippi,23,2,71,228
3112,Henry Perez,edge,85,Washington State,26,5,70,261
3113,Timothy Sroka,edge,64,Florida State,24,3,74,237
3114,Christopher Jackson,edge,73,West Georgia,28,7,79,202
3115,James Gillen,edge,99,Georgia,25,4,78,222
3116,Michael Stafford,edge,73,Texas A&M,24,3,75,209
3117,Robert Campbell,edge,71,Cincinnati,25,4,78,208
3118,William Peyton,edge,63,Georgia,30,9,78,230
3119,Wesley Lopez,edge,69,Texas Christian,28,7,72,264
3120,Paul Angulo,edge,56,Newberry,25,4,73,217
3121,Chris Smith,edge,75,Penn State,25,4,72,209
3122,Alvin Molinaro,edge,66,Notre Dame,26,5,72,225
3123,Dustin Williams,edge,75,Southern Methodist,22,1,74,201
3124,Dexter Kohnke,edge,85,Idaho,27,6,75,241
3125,Jesse Gray,edge,56,Texas Tech,24,3,80,263
3126,Patrick Richards,edge,71,Alabama,27,6,79,241
3127,Allen Eliason,edge,72,Iowa State,28,7,71,257
3128,Jose Watts,edge,74,Miami (Fla.),26,5,70,254
3129,Steven Weckerly,edge,62,Arizona,25,4,70,200
3130,Joseph Pierce,edge,67,Arizona State,23,2,71,267
3131,Dean Paul,edge,72,USC,31,10,76,249
3132,Nathan Keys,edge,84,Louisiana-Lafayette,26,5,78,213
3133,James Thomas,edge,88,Penn State,21,0,70,272
3134,Felipe Mccoun,edge,68,North Carolina State,24,3,77,268
3135,William Slavens,edge,64,Minnesota,27,6,74,252
3136,Cornelius Orme,edge,74,Georgia,24,3,76,258
3137,Garrett Bordelon,edge,66,Mississippi,26,5,72,257
3138,Frank Johnson,edge,64,Utah State,23,2,78,254
3139,Frank Rehfield,edge,63,LSU,28,7,79,267
3140,Jose Mcinnis,edge,57,No College,28,7,70,217
3141,Reginald Burdick,edge,58,Pittsburgh,23,2,76,234
3142,Charles Hooper,edge,62,Houston,24,3,72,240
3143,Eloy Jackson,edge,65,Midwestern State,29,8,76,261
3144,Phillip Avila,edge,71,Georgia,27,6,80,221
3145,Joan Lloyd,edge,68,Iowa,23,2,75,203
